ProvinceName,ProvinceID,ProvinceCode,DistrictName,DistrictCode,DistrictID,WardName,Code,WardCode
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Hòa Hiệp,7,520307
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Hòa Hội,8,520308
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Bưng Riềng,5,520305
Bà Rịa – Vũng Tàu,206,,Huyện Xuyên Mộc,5203,1699,Xã Bình Châu,3,520303
Bà Rịa – Vũng Tàu,206,,Huyện Long Điền,5204,1689,Thị trấn Long Điền,1,520401
Bà Rịa – Vũng Tàu,206,,Huyện Long Điền,5204,1689,Thị trấn Long Hải,2,520402
Bà Rịa – Vũng Tàu,206,,Huyện Long Điền,5204,1689,Xã An Ngãi,3,520403
Bà Rịa – Vũng Tàu,206,,Huyện Long Điền,5204,1689,Xã Tam Phước,7,520407
Bà Rịa – Vũng Tàu,206,,Huyện Long Điền,5204,1689,Xã An Nhứt,4,520404
Bà Rịa – Vũng Tàu,206,,Huyện Long Điền,5204,1689,Xã Phước Tỉnh,6,520406
Bà Rịa – Vũng Tàu,206,,Huyện Long Điền,5204,1689,Xã Phước Hưng,5,520405
Bà Rịa – Vũng Tàu,206,,Huyện Đất Đỏ,5208,1690,Thị trấn Đất Đỏ,1,520801
Bà Rịa – Vũng Tàu,206,,Huyện Đất Đỏ,5208,1690,Xã Phước Long Thọ,8,520808
Bà Rịa – Vũng Tàu,206,,Huyện Đất Đỏ,5208,1690,Xã Phước Hội,7,520807
Bà Rịa – Vũng Tàu,206,,Huyện Đất Đỏ,5208,1690,Xã Long Mỹ,5,520805
Bà Rịa – Vũng Tàu,206,,Huyện Đất Đỏ,5208,1690,Thị trấn Phước Hải,2,520802
Bà Rịa – Vũng Tàu,206,,Huyện Đất Đỏ,5208,1690,Xã Long Tân,6,520806
Bà Rịa – Vũng Tàu,206,,Huyện Đất Đỏ,5208,1690,Xã Láng Dài,3,520803
Bà Rịa – Vũng Tàu,206,,Huyện Đất Đỏ,5208,1690,Xã Lộc An,4,520804
Bà Rịa – Vũng Tàu,206,,Thị xã Phú Mỹ,5206,1701,Phường Phú Mỹ,1,520601
Bà Rịa – Vũng Tàu,206,,Thị xã Phú Mỹ,5206,1701,Xã Tân Hoà,8,520608
Bà Rịa – Vũng Tàu,206,,Thị xã Phú Mỹ,5206,1701,Xã Tân Hải,7,520607
Bà Rịa – Vũng Tàu,206,,Thị xã Phú Mỹ,5206,1701,Phường Phước Hoà,5,520605
Bà Rịa – Vũng Tàu,206,,Thị xã Phú Mỹ,5206,1701,Phường Tân Phước,9,520609
Bà Rịa – Vũng Tàu,206,,Thị xã Phú Mỹ,5206,1701,Phường Mỹ Xuân,4,520604
Bà Rịa – Vũng Tàu,206,,Thị xã Phú Mỹ,5206,1701,Xã Sông Xoài,6,520606
Bà Rịa – Vũng Tàu,206,,Thị xã Phú Mỹ,5206,1701,Phường Hắc Dịch,3,520603
Bà Rịa – Vũng Tàu,206,,Thị xã Phú Mỹ,5206,1701,Xã Châu Pha,2,520602
Bà Rịa – Vũng Tàu,206,,Thị xã Phú Mỹ,5206,1701,Xã Tóc Tiên,10,520610
Bà Rịa – Vũng Tàu,206,,Huyện đảo Côn Đảo,5205,2111,,,
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Phường Thọ Xương,7,180107
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Phường Trần Nguyên Hãn,8,180108
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Phường Ngô Quyền,6,180106
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Phường Hoàng Văn Thụ,3,180103
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Phường Trần Phú,9,180109
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Phường Mỹ Độ,5,180105
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Phường Lê Lợi,4,180104
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Xã Song Mai,14,180114
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Phường Xương Giang,10,180110
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Phường Đa Mai,1,180101
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Phường Dĩnh Kế,2,180102
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Xã Dĩnh Trì,11,180111
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Xã Tân Mỹ,15,180115
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Xã Đồng Sơn,12,180112
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Xã Tân Tiến,16,180116
Bắc Giang,248,,Thành phố Bắc Giang,1801,1643,Xã Song Khê,13,180113
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Thị trấn Cầu Gồ,2,180202
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Thị trấn Bố Hạ,1,180201
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Đồng Tiến,11,180211
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Canh Nậu,5,180205
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Xuân Lương,21,180221
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Tam Tiến,17,180217
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Đồng Vương,12,180212
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Đồng Hưu,6,180206
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Đồng Tâm,10,180210
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Tam Hiệp,16,180216
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Tiến Thắng,20,180220
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Hồng Kỳ,13,180213
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Đồng Lạc,8,180208
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Đông Sơn,9,180209
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Tân Hiệp,18,180218
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Hương Vĩ,14,180214
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Đồng Kỳ,7,180207
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã An Thượng,3,180203
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Phồn Xương,15,180215
Bắc Giang,248,,Huyện Yên Thế,1802,1765,Xã Tân Sỏi,19,180219
